"","UID","Machine.Type","Air.temperature..K.","Process.temperature..K.","Rotational.speed..rpm.","Torque..Nm.","Tool.wear..min.","Target","Failure.Type","Timestamp","hours","time","fail","tempdiff"
"1","M14860","x1",298.1,308.6,1551,42.8,0,"0","No Failure",2001-12-01,0,0,"0",10.5
"2","L47181","x_1",298.2,308.7,1408,46.3,3,"0","No Failure",2001-12-01 01:00:00,1,1,"0",10.4
"3","L47182","x_1",298.1,308.5,1498,49.4,5,"0","No Failure",2001-12-01 02:00:00,2,2,"0",10.5
"4","L47183","x_1",298.2,308.6,1433,39.5,7,"0","No Failure",2001-12-01 03:00:00,3,3,"0",10.4
"5","L47184","x_1",298.2,308.7,1408,40,9,"0","No Failure",2001-12-01 04:00:00,4,4,"0",10.4
"6","M14865","X2",298.1,308.6,1425,41.9,11,"0","No Failure",2011-12-01 05:00:00,5,5,"0",10.5
"7","L47186","x_1",298.1,308.6,1558,42.4,14,"0","No Failure",2001-12-01 06:00:00,6,6,"0",10.5
"8","L47187","x_1",298.1,308.6,1527,40.2,16,"0","No Failure",2001-12-01 07:00:00,7,7,"0",10.5
"9","M14868","x1",298.3,308.7,1667,28.6,18,"0","No Failure",2001-12-01 08:00:00,8,8,"0",10.3
"10","M14869","x1",298.5,309,1741,107.8,21,"0","No Failure",2001-12-01 09:00:00,9,9,"0",10.1
"11","H29424","X1",298.4,308.9,1782,23.9,24,"0","No Failure",2001-12-01 10:00:00,10,10,"0",10.2
"12","H29425","X1",298.6,309.1,1423,44.3,29,"0","No Failure",2001-12-01 11:00:00,11,11,"0",10
"13","M14872","x1",298.6,309.1,1339,51.1,34,"0","No Failure",2001-12-01 12:00:00,12,12,"0",10
"14","M14873","x1",298.6,309.2,1742,30,37,"0","No Failure",2001-12-01 13:00:00,13,13,"0",10
"15","L47194","x_1",298.6,309.2,2035,19.6,40,"0","No Failure",2001-12-01 14:00:00,14,14,"0",10
"16","L47195","x_1",298.6,309.2,1542,48.4,42,"0","No Failure",2001-12-01 15:00:00,15,15,"0",10
"17","M14876","x1",298.6,309.2,1311,46.6,44,"0","No Failure",2001-12-01 16:00:00,16,16,"0",10
"18","M14877","x1",298.7,309.2,1410,125.4,47,"0","No Failure",2001-12-01 17:00:00,17,17,"0",9.90000000000003
"19","H29432","X1",298.8,309.2,1306,54.5,50,"0","No Failure",2001-12-01 18:00:00,18,18,"0",9.80000000000001
"20","M14879","x1",298.9,309.3,1632,32.5,55,"0","No Failure",2001-12-01 19:00:00,19,19,"0",9.70000000000005
"21","H29434","X1",298.9,309.3,1375,42.7,58,"0","No Failure",2001-12-01 20:00:00,20,20,"0",9.70000000000005
"22","L47201","x_1",298.8,309.3,1450,44.8,63,"0","No Failure",2001-12-01 21:00:00,21,21,"0",9.80000000000001
"23","M14882","x1",298.9,309.3,1581,30.7,65,"0","No Failure",2001-12-01 22:00:00,22,22,"0",9.70000000000005
"24","L47203","x_1",299,309.4,1758,105.5,68,"0","No Failure",2001-12-01 23:00:00,23,23,"0",9.60000000000002
"25","M14884","x1",299,309.4,1561,37.3,70,"0","No Failure",2001-12-02,24,0,"0",9.60000000000002
"26","L47205","x_1",299,309.5,1861,23.3,73,"0","No Failure",2001-12-02 01:00:00,25,1,"0",9.60000000000002
"27","L47206","x_1",299.1,309.5,NA,39,75,"0","No Failure",2001-12-02 02:00:00,26,2,"0",9.5
"28","H29441","X1",299.1,309.4,1811,24.6,77,"0","No Failure",2001-12-02 03:00:00,27,3,"0",9.5
