UID,Machine Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp
M14860,x1,298.1,308.6,1551.0,42.8,0,0,No Failure,2001-12-01 00:00:00
L47181,x_1,298.2,308.7,1408.0,46.3,3,0,No Failure,2001-12-01 01:00:00
L47182,x_1,298.1,308.5,1498.0,49.4,5,0,No Failure,2001-12-01 02:00:00
L47183,x_1,298.2,308.6,1433.0,39.5,7,0,No Failure,2001-12-01 03:00:00
L47184,x_1,298.2,308.7,1408.0,40.0,9,0,No Failure,2001-12-01 04:00:00
M14865,X2,298.1,308.6,1425.0,41.9,11,0,No Failure,2011-12-01 05:00:00
L47186,x_1,298.1,308.6,1558.0,42.4,14,0,No Failure,2001-12-01 06:00:00
L47187,x_1,298.1,308.6,1527.0,40.2,16,0,No Failure,2001-12-01 07:00:00
M14868,x1,298.3,308.7,1667.0,28.6,18,0,No Failure,2001-12-01 08:00:00
M14869,x1,298.5,309.0,1741.0,107.8,21,0,No Failure,2001-12-01 09:00:00
H29424,X1,298.4,308.9,1782.0,23.9,24,0,No Failure,2001-12-01 10:00:00
H29425,X1,298.6,309.1,1423.0,44.3,29,0,No Failure,2001-12-01 11:00:00
M14872,x1,298.6,309.1,1339.0,51.1,34,0,No Failure,2001-12-01 12:00:00
M14873,x1,298.6,309.2,1742.0,30.0,37,0,No Failure,2001-12-01 13:00:00
L47194,x_1,298.6,309.2,2035.0,19.6,40,0,No Failure,2001-12-01 14:00:00
L47195,x_1,298.6,309.2,1542.0,48.4,42,0,No Failure,2001-12-01 15:00:00
M14876,x1,298.6,309.2,1311.0,46.6,44,0,No Failure,2001-12-01 16:00:00
M14877,x1,298.7,309.2,1410.0,125.4,47,0,No Failure,2001-12-01 17:00:00
H29432,X1,298.8,309.2,1306.0,54.5,50,0,No Failure,2001-12-01 18:00:00
M14879,x1,298.9,309.3,1632.0,32.5,55,0,No Failure,2001-12-01 19:00:00
H29434,X1,298.9,309.3,1375.0,42.7,58,0,No Failure,2001-12-01 20:00:00
L47201,x_1,298.8,309.3,1450.0,44.8,63,0,No Failure,2001-12-01 21:00:00
M14882,x1,298.9,309.3,1581.0,30.7,65,0,No Failure,2001-12-01 22:00:00
L47203,x_1,299.0,309.4,1758.0,105.5,68,0,No Failure,2001-12-01 23:00:00
M14884,x1,299.0,309.4,1561.0,37.3,70,0,No Failure,2001-12-02 00:00:00
L47205,x_1,299.0,309.5,1861.0,23.3,73,0,No Failure,2001-12-02 01:00:00
L47206,x_1,299.1,309.5,,39.0,75,0,No Failure,2001-12-02 02:00:00
H29441,X1,299.1,309.4,1811.0,24.6,77,0,No Failure,2001-12-02 03:00:00
L47208,x_1,299.1,309.4,1439.0,44.2,82,0,No Failure,2001-12-02 04:00:00
L47209,x_1,299.0,309.4,1693.0,30.1,84,0,No Failure,2001-12-02 05:00:00
M14890,x1,299.1,309.5,1339.0,128.0,86,0,No Failure,2001-12-02 06:00:00
L47211,x_1,299.0,309.4,1798.0,105.3,89,0,No Failure,2001-12-02 07:00:00
L47212,x_1,299.0,309.4,1419.0,48.3,91,0,No Failure,2001-12-02 08:00:00
L47213,x_1,298.9,309.3,1665.0,32.5,93,0,No Failure,2001-12-02 09:00:00
M14894,x1,298.8,309.1,1559.0,34.7,95,0,No Failure,2001-12-02 10:00:00
M14895,x1,298.8,309.2,1452.0,48.6,98,0,No Failure,2001-12-02 11:00:00
M14896,x1,298.9,309.2,1581.0,36.7,101,0,No Failure,2001-12-02 12:00:00
L47217,x_1,298.8,309.1,1439.0,39.2,104,0,No Failure,2001-12-02 13:00:00
H29452,X1,298.9,309.2,1379.0,50.7,106,0,No Failure,2001-12-02 14:00:00
L47219,x_1,298.8,309.1,1350.0,52.5,111,0,No Failure,2001-12-02 15:00:00
L47220,x_1,298.8,309.1,1362.0,45.4,113,0,No Failure,2001-12-02 16:00:00
L47221,x_1,298.8,309.1,1368.0,130.6,115,0,No Failure,2001-12-02 17:00:00
M14902,x1,298.8,309.1,1368.0,49.1,117,0,No Failure,2001-12-02 18:00:00
H29457,X1,298.8,309.2,1372.0,48.5,120,0,No Failure,2001-12-02 19:00:00
M14904,x1,298.8,309.1,1472.0,47.5,125,0,No Failure,2001-12-02 20:00:00
L47225,x_1,298.8,309.1,1489.0,49.1,128,0,No Failure,2001-12-02 21:00:00
M14906,x1,298.7,309.0,1843.0,25.8,130,0,No Failure,2001-12-02 22:00:00
L47227,x_1,298.8,309.1,1418.0,46.3,133,0,No Failure,2001-12-02 23:00:00
H29462,X1,282.8,309.2,1425.0,53.9,135,0,No Failure,2001-12-03 00:00:00
M14909,x1,298.9,309.2,1412.0,44.1,140,0,No Failure,2001-12-03 01:00:00
L47230,x_1,298.9,309.1,2861.0,4.6,143,1,Power Failure,2001-12-03 02:00:00
L47231,x_1,298.9,309.1,1383.0,54.9,145,0,No Failure,2001-12-03 03:00:00
H29466,X1,298.8,309.0,1497.0,43.8,147,0,No Failure,2001-12-03 04:00:00
L47233,x_1,298.7,309.0,1565.0,35.1,152,0,No Failure,2001-12-03 05:00:00
L47234,x_1,298.7,309.0,1691.0,30.1,154,0,No Failure,2001-12-03 06:00:00
L47235,x_1,298.8,309.1,1512.0,40.7,156,0,No Failure,2001-12-03 07:00:00
L47236,x_1,298.8,309.1,1477.0,42.4,158,0,No Failure,2001-12-03 08:00:00
L47237,x_1,298.8,309.1,1513.0,40.3,160,0,No Failure,2001-12-03 09:00:00
M14918,x1,298.8,309.0,1661.0,29.5,162,0,No Failure,2001-12-03 10:00:00
L47239,x_1,298.8,309.1,1378.0,54.4,165,0,No Failure,2001-12-03 11:00:00
L47240,x_1,298.8,309.1,1393.0,52.6,167,0,No Failure,2001-12-03 12:00:00
M14921,x1,298.8,309.0,1592.0,38.2,169,0,No Failure,2001-12-03 13:00:00
L47242,x_1,298.8,309.0,1829.0,22.9,172,0,No Failure,2001-12-03 14:00:00
M14923,x1,298.9,309.0,1812.0,25.9,174,0,No Failure,2001-12-03 15:00:00
L47244,x_1,283.0,309.1,1523.0,38.6,177,0,No Failure,2001-12-03 16:00:00
L47245,x_1,299.0,309.1,1394.0,45.1,179,0,No Failure,2001-12-03 17:00:00
M14926,x1,298.9,308.9,1679.0,28.7,181,0,No Failure,2001-12-03 18:00:00
H29481,X1,298.8,308.9,1466.0,44.1,184,0,No Failure,2001-12-03 19:00:00
L47248,x_1,298.8,308.9,1527.0,32.4,189,0,No Failure,2001-12-03 20:00:00
L47249,x_1,298.9,309.0,1410.0,65.7,191,1,Power Failure,2001-12-03 21:00:00
M14930,x1,298.9,309.0,1924.0,22.6,193,0,No Failure,2001-12-03 22:00:00
L47251,x_1,298.9,309.1,1452.0,45.5,196,0,Error,2001-12-03 23:00:00
L47252,x_1,282.9,309.1,1369.0,44.4,198,0,No Failure,2001-12-04 00:00:00
L47253,x_1,299.0,309.1,1592.0,35.0,200,0,No Failure,2001-12-04 01:00:00
L47254,x_1,282.9,309.0,1601.0,32.3,202,0,No Failure,2001-12-04 02:00:00
L47255,x_1,298.8,308.9,1379.0,46.7,204,0,No Failure,2001-12-04 03:00:00
L47256,x_1,298.8,308.9,1461.0,47.9,206,0,No Failure,2001-12-04 04:00:00
L47257,x_1,298.8,308.9,1455.0,41.3,208,1,Tool Wear Failure,2001-12-04 05:00:00
L47258,x_1,298.8,308.9,1398.0,51.5,0,0,No Failure,2001-12-04 06:00:00
L47259,x_1,298.8,308.9,1402.0,37.9,2,0,No Failure,2001-12-04 07:00:00
H29494,X1,298.8,308.8,1445.0,49.9,4,0,No Failure,2001-12-04 08:00:00
L47261,x_1,298.9,308.9,1450.0,47.5,9,0,No Failure,2001-12-04 09:00:00
L47262,x_1,298.9,308.9,1453.0,40.8,11,0,No Failure,2001-12-04 10:00:00
L47263,x_1,283.0,309.0,1469.0,40.1,13,0,No Failure,2001-12-04 11:00:00
L47264,x_1,298.9,308.9,1422.0,47.6,15,0,No Failure,2001-12-04 12:00:00
M14945,x1,299.0,309.0,1804.0,26.8,17,0,No Failure,2001-12-04 13:00:00
H29500,X1,299.0,309.0,1436.0,43.9,20,0,No Failure,2001-12-04 14:00:00
L47267,x_1,299.0,309.0,1544.0,31.8,25,0,No Failure,2001-12-04 15:00:00
M14948,x1,299.0,309.0,1419.0,45.2,27,0,No Failure,2001-12-04 16:00:00
M14949,X2,298.9,308.9,1487.0,39.5,30,0,No Failure,2011-12-04 17:00:00
L47270,x_1,282.9,308.9,1753.0,25.8,33,0,No Failure,2001-12-04 18:00:00
L47271,X2,298.9,308.9,1830.0,24.9,35,0,No Failure,2011-12-04 19:00:00
M14952,x1,298.9,308.9,1727.0,27.1,37,0,No Failure,2001-12-04 20:00:00
L47273,x_1,299.1,309.0,1450.0,43.0,40,0,No Failure,2001-12-04 21:00:00
L47274,x_1,299.0,308.9,1622.0,31.9,42,0,No Failure,2001-12-04 22:00:00
M14955,x1,299.0,309.0,1351.0,52.2,44,0,No Failure,2001-12-04 23:00:00
M14956,x1,299.0,309.0,1575.0,35.3,47,0,No Failure,2001-12-05 00:00:00
M14957,x1,298.9,308.9,1750.0,29.9,50,0,No Failure,2001-12-05 01:00:00
L47278,x_1,298.9,308.8,1529.0,32.7,53,0,No Failure,2001-12-05 02:00:00
L47279,x_1,298.8,308.8,1523.0,44.4,55,0,No Failure,2001-12-05 03:00:00
L47280,x_1,298.8,308.9,1852.0,25.0,57,0,No Failure,2001-12-05 04:00:00
L47281,x_1,298.8,308.8,1991.0,20.7,59,0,No Failure,2001-12-05 05:00:00
L47282,x_1,298.8,308.8,1555.0,40.6,61,0,No Failure,2001-12-05 06:00:00
M14963,x1,282.8,308.8,1441.0,40.5,63,0,No Failure,2001-12-05 07:00:00
L47284,x_1,298.8,308.7,1450.0,43.4,66,0,No Failure,2001-12-05 08:00:00
L47285,x_1,298.8,308.7,1591.0,31.1,68,0,No Failure,2001-12-05 09:00:00
L47286,x_1,298.8,308.7,1445.0,48.5,70,0,No Failure,2001-12-05 10:00:00
M14967,x1,298.8,308.8,1497.0,46.8,72,0,No Failure,2001-12-05 11:00:00
H29522,X1,298.9,308.8,1621.0,32.7,75,0,No Failure,2001-12-05 12:00:00
